metadata	chunk_size	en_wordcount	gr_wordcount
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;0	56.61321721311475	51	33
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;1	56.61321721311475	57	32
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;2	56.61321721311475	55	37
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;3	56.61321721311475	46	34
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;4	56.61321721311475	55	32
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;5	56.61321721311475	54	37
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;6	56.61321721311475	56	37
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;7	56.61321721311475	58	32
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;8	56.61321721311475	58	36
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;9	56.61321721311475	46	36
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;10	56.61321721311475	50	37
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;11	56.61321721311475	58	30
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;12	56.61321721311475	52	37
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;13	56.61321721311475	43	33
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;14	56.61321721311475	59	29
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;15	56.61321721311475	49	34
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;16	56.61321721311475	60	31
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;17	56.61321721311475	56	32
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;18	56.61321721311475	66	36
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;19	56.61321721311475	51	37
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;20	56.61321721311475	52	34
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;21	56.61321721311475	62	31
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;22	56.61321721311475	58	36
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;23	56.61321721311475	48	37
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;24	56.61321721311475	61	33
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;25	56.61321721311475	57	36
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;26	56.61321721311475	50	33
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;27	56.61321721311475	48	30
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;28	56.61321721311475	53	32
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;29	56.61321721311475	53	34
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;30	56.61321721311475	57	38
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;31	56.61321721311475	58	36
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;32	56.61321721311475	61	34
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;33	56.61321721311475	57	38
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;34	56.61321721311475	59	41
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;35	56.61321721311475	53	35
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;36	56.61321721311475	60	33
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;37	56.61321721311475	61	35
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;38	56.61321721311475	62	38
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;39	56.61321721311475	56	38
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;40	56.61321721311475	50	39
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;41	56.61321721311475	57	37
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;42	56.61321721311475	52	40
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;43	56.61321721311475	69	44
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;44	56.61321721311475	48	40
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;45	56.61321721311475	71	40
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;46	56.61321721311475	73	38
urn:cts:greekLit:tlg0012.tlg002;Homer;Odyssey;tlg0012.tlg002.perseus-eng3;47	56.61321721311475	40	37
