metadata	chunk_size	en_wordcount	gr_wordcount
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;0	14.981751824817518	41	23
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;1	14.981751824817518	39	24
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;2	14.981751824817518	9	6
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;3	14.981751824817518	41	26
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;4	14.981751824817518	48	26
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;5	14.981751824817518	41	30
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;6	14.981751824817518	11	7
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;7	14.981751824817518	35	20
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;8	14.981751824817518	8	7
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;9	14.981751824817518	49	21
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;10	14.981751824817518	8	6
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;11	14.981751824817518	39	23
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;12	14.981751824817518	44	31
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;13	14.981751824817518	51	33
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;14	14.981751824817518	5	6
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;15	14.981751824817518	29	21
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;16	14.981751824817518	38	17
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;17	14.981751824817518	13	6
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;18	14.981751824817518	4	3
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;19	14.981751824817518	12	10
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;20	14.981751824817518	28	18
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;21	14.981751824817518	13	9
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;22	14.981751824817518	15	11
urn:cts:greekLit:tlg0006.tlg005;Euripides;Hippolytus;tlg0006.tlg005.perseus-eng2;23	14.981751824817518	47	28
