metadata	chunk_size	en_wordcount	gr_wordcount
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;0	12.873170731707317	37	25
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;1	12.873170731707317	56	31
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;2	12.873170731707317	53	29
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;3	12.873170731707317	51	25
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;4	12.873170731707317	41	29
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;5	12.873170731707317	49	28
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;6	12.873170731707317	36	28
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;7	12.873170731707317	6	5
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;8	12.873170731707317	12	5
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;9	12.873170731707317	27	16
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;10	12.873170731707317	17	4
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;11	12.873170731707317	24	17
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;12	12.873170731707317	25	17
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;13	12.873170731707317	7	7
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;14	12.873170731707317	30	16
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;15	12.873170731707317	27	16
urn:cts:greekLit:tlg0006.tlg001;Euripides;The Cyclops;tlg0006.tlg001.perseus-eng2;16	12.873170731707317	18	10
